id,Sepal Length,Sepal Width
1,5.1,3.5
2,4.9,3
3,4.7,3.2
4,4.6,3.1
5,5,3.6
6,5.4,3.9
7,4.6,3.4
8,5,3.4
9,4.4,2.9
10,4.9,3.1
11,5.4,3.7
12,4.8,3.4
13,4.8,3
14,4.3,3
15,5.8,4
16,5.7,4.4
17,5.4,3.9
18,5.1,3.5
19,5.7,3.8
20,5.1,3.8
21,5.4,3.4
22,5.1,3.7
23,4.6,3.6
24,5.1,3.3
25,4.8,3.4
26,5,3
27,5,3.4
28,5.2,3.5
29,5.2,3.4
30,4.7,3.2
31,4.8,3.1
32,5.4,3.4
33,5.2,4.1
34,5.5,4.2
35,4.9,3.1
36,5,3.2
37,5.5,3.5
38,4.9,3.6
39,4.4,3
40,5.1,3.4
41,5,3.5
42,4.5,2.3
43,4.4,3.2
44,5,3.5
45,5.1,3.8
46,7,3.2
47,6.4,3.2
48,6.9,3.1
49,5.5,2.3
50,6.5,2.8
51,5.7,2.8
52,6.3,3.3
53,4.9,2.4
54,6.6,2.9
55,5.2,2.7
56,5,2
57,5.9,3
58,6,2.2
59,6.1,2.9
60,5.6,2.9
61,6.7,3.1
62,5.6,3
63,5.8,2.7
64,6.2,2.2
65,5.6,2.5
66,5.9,3.2
67,6.1,2.8
68,6.3,2.5
69,6.1,2.8
70,6.4,2.9
71,6.6,3
72,6.8,2.8
73,6.7,3
74,6,2.9
75,5.7,2.6
76,5.5,2.4
77,5.5,2.4
78,5.8,2.7
79,6,2.7
80,5.4,3
81,6,3.4
82,6.7,3.1
83,6.3,2.3
84,5.6,3
85,5.5,2.5
86,5.5,2.6
87,6.1,3
88,5.8,2.6
89,5,2.3
90,5.6,2.7
91,6.3,3.3
92,5.8,2.7
93,7.1,3
94,6.3,2.9
95,6.5,3
96,7.6,3
97,4.9,2.5
98,7.3,2.9
99,6.7,2.5
100,7.2,3.6
101,6.5,3.2
102,6.4,2.7
103,6.8,3
104,5.7,2.5
105,5.8,2.8
106,6.4,3.2
107,6.5,3
108,7.7,3.8
109,7.7,2.6
110,6,2.2
111,6.9,3.2
112,5.6,2.8
113,7.7,2.8
114,6.3,2.7
115,6.7,3.3
116,7.2,3.2
117,6.2,2.8
118,6.1,3
119,6.4,2.8
120,7.2,3
121,7.4,2.8
122,7.9,3.8
123,6.4,2.8
124,6.3,2.8
125,6.1,2.6
126,7.7,3
127,6.3,3.4
128,6.4,3.1
129,6,3
130,6.9,3.1
131,6.7,3.1
132,6.9,3.1
133,5.8,2.7
134,6.8,3.2
135,6.7,3.3
